,gene,decouple_TAC,couple_TAC,decouple_cortex,couple_cortex,decouple_irs,couple_irs,decouple_medulla,couple_medulla
91,SF1,0.005644351799583412,-0.005654351799583412,0.00996990848718042,-0.00997990848718042,-0.0008038510520796543,0.0007938510520796543,0.009744499260937414,-0.009754499260937414
92,E130308A19RIK,0.002086049967722277,-0.002096049967722277,0.0038404656091213935,-0.0038504656091213935,0.0031688680554584764,-0.0031788680554584764,0.003873666018797739,-0.003883666018797739
93,COL13A1,,,,,,,0.00890651398579484,-0.008916513985794839
94,POLR2A,0.009039941397784496,-0.009049941397784495,0.009156712336783612,-0.009166712336783612,0.0021149906051239897,-0.0021249906051239898,-0.0007891007276220885,0.0007791007276220885
95,PRR14L,0.006081770136555975,-0.006091770136555975,0.008530098335656211,-0.00854009833565621,0.0050957048487959705,-0.00510570484879597,0.001324677211220024,-0.001334677211220024
96,OPTN,0.0027345018666801307,-0.0027445018666801308,0.013463642971760323,-0.013473642971760322,,,-0.006681449628486505,0.006671449628486505
97,INTS2,0.0005611037158368415,-0.0005711037158368415,0.009004974839813107,-0.009014974839813106,-0.001506339033370649,0.0014963390333706489,0.002512213880335956,-0.002522213880335956
98,PPP1R12A,0.002726459581056939,-0.0027364595810569392,0.00862926074446993,-0.00863926074446993,0.01062752332324135,-0.01063752332324135,0.006100922035909298,-0.006110922035909298
99,CPSF3,0.0034867893044909504,-0.0034967893044909504,0.0069703493110011144,-0.006980349311001114,-0.0018764059036444902,0.0018664059036444902,-0.00022340121840203064,0.00021340121840203064
100,DOCK1,0.0031291712558401408,-0.003139171255840141,0.012342835018415516,-0.012352835018415515,0.0006683744496878835,-0.0006783744496878835,0.009584722843763799,-0.009594722843763798
101,NTN1,0.010455790809272947,-0.010465790809272946,,,-0.03673327295962371,0.03672327295962371,-0.003461308986358075,0.003451308986358075
102,TANGO6,0.0024917761021842275,-0.0025017761021842275,0.010121268744888001,-0.010131268744888,-0.008841693851356552,0.008831693851356553,0.0038080826059669476,-0.0038180826059669476
103,FAM13B,0.0016127950021999488,-0.0016227950021999488,0.008378610954207999,-0.008388610954207999,0.008495092441581795,-0.008505092441581794,0.01061059067242845,-0.010620590672428449
104,KRT25,0.007106434614551391,-0.00711643461455139,0.007271316944371997,-0.007281316944371997,0.010756294092496899,-0.010766294092496898,0.008783403278599541,-0.008793403278599541
105,NOC2L,0.007654484648566273,-0.007664484648566273,0.0050466021972930125,-0.005056602197293012,0.004969972309443377,-0.004979972309443376,-0.0015647692781765449,0.0015547692781765448
106,LIG1,0.0035088461671577142,-0.0035188461671577143,0.0013822028974078276,-0.0013922028974078277,-0.038998947699262376,0.03898894769926237,-0.02140053490763448,0.02139053490763448
107,SPG11,0.0038382722647793133,-0.0038482722647793133,0.0017269285247887844,-0.0017369285247887845,0.004435357058376388,-0.0044453570583763875,-3.028689446959998e-06,-6.971310553040003e-06
108,ARHGEF10L,-0.0026594582576767306,0.0026494582576767306,0.007885905159328202,-0.007895905159328202,-0.00555728778964136,0.005547287789641361,-0.006194528110792796,0.006184528110792797
109,CHD1L,0.0024801611059736273,-0.0024901611059736273,-0.00557609835784853,0.0055660983578485305,-0.015593467122325282,0.015583467122325282,-0.0020241808762640895,0.0020141808762640895
110,GHITM,0.012929914800904718,-0.012939914800904718,0.0008389360096437287,-0.0008489360096437287,0.0014001172035053994,-0.0014101172035053994,-0.006263641412821236,0.006253641412821236
111,KRT75,0.012507486981455283,-0.012517486981455283,-0.010115795801254858,0.010105795801254858,-0.009958142596482603,0.009948142596482603,0.00614529998440258,-0.00615529998440258
112,OTUD4,0.002689900552953803,-0.002699900552953803,0.006201560219319738,-0.006211560219319737,-0.003729238377258165,0.003719238377258165,0.0010306262789973458,-0.0010406262789973459
113,LYPD6,0.009992412214462149,-0.010002412214462148,0.010352547942927143,-0.010362547942927142,,,0.006648451199428307,-0.0066584511994283065
114,CSRP1,0.0054020895925840084,-0.005412089592584008,0.005832569789746889,-0.005842569789746888,-0.0066916190646363755,0.006681619064636376,-0.0007480389427999556,0.0007380389427999556
115,SDCCAG8,0.004740525911084828,-0.004750525911084828,0.004513460665853425,-0.0045234606658534245,-0.0013218282242888624,0.0013118282242888623,-0.0019358245466844226,0.0019258245466844226
116,AKAP10,0.004139046902156621,-0.00414904690215662,0.01330052566277952,-0.013310525662779519,0.0065107209956410395,-0.006520720995641039,0.0034523527381272734,-0.0034623527381272734
117,COL23A1,0.00452909708758184,-0.00453909708758184,0.0010386495720260541,-0.0010486495720260542,-0.013518679791603226,0.013508679791603227,0.007950471335564147,-0.007960471335564146
118,RSRC1,0.0013776797079874115,-0.0013876797079874115,0.011089829414062863,-0.011099829414062862,0.008178405091482252,-0.008188405091482252,0.008075247317311726,-0.008085247317311726
119,MKI67,0.003451648522934142,-0.003461648522934142,0.009318488897624502,-0.009328488897624502,0.010475570635748624,-0.010485570635748623,0.002026156948387134,-0.002036156948387134
120,ATF7IP,0.003730011643482467,-0.003740011643482467,0.010533872168597191,-0.010543872168597191,0.0019969250652739357,-0.0020069250652739357,0.004812815878641172,-0.004822815878641171
121,DSC1,0.00875799775216167,-0.00876799775216167,-0.010737847036459566,0.010727847036459567,0.009316559240455435,-0.009326559240455435,0.012880513851515271,-0.01289051385151527
122,METTL5,-0.001864917641064591,0.001854917641064591,-0.0010466075635723465,0.0010366075635723465,-0.03361890202325309,0.03360890202325309,-0.016270987082854578,0.01626098708285458
123,2610507B11RIK,0.007315697485684454,-0.0073256974856844535,0.00835716758702,-0.00836716758702,-0.0028295539214176213,0.0028195539214176213,0.0028449456763948444,-0.0028549456763948444
124,ZDHHC13,0.000457091340507948,-0.000467091340507948,0.012446198693555746,-0.012456198693555746,-0.0057130491591971255,0.005703049159197126,0.004593392414814407,-0.004603392414814406
125,ABCF2,0.007875470818497293,-0.007885470818497293,-0.0023658133389606456,0.0023558133389606456,-0.010531940267753948,0.010521940267753948,0.0017344814028942973,-0.0017444814028942973
126,PGS1,-0.0007681057743569517,0.0007581057743569516,0.0023809990172108525,-0.0023909990172108525,-0.010851637308339115,0.010841637308339116,0.00657174134022924,-0.006581741340229239
127,SMPD3,0.0032132262095796657,-0.0032232262095796657,-0.0030168276242178993,0.0030068276242178993,,,,
128,MTM1,0.003352242281630627,-0.003362242281630627,0.0005508252248650758,-0.0005608252248650758,-0.00046510038565827916,0.00045510038565827913,0.010110992876329994,-0.010120992876329993
129,SLC16A10,0.003644455604839454,-0.003654455604839454,0.0037301447657142883,-0.0037401447657142884,-0.021300396608000476,0.021290396608000476,0.006051750082935126,-0.006061750082935125
