,gene,decouple_th1,decouple_Th17,decouple_Th2,decouple_Tcm,decouple_Treg
87,LINC02520,-0.0013664145681981143,-0.0013801552358634374,-0.0019075642739218215,-0.0007024048730527779,-0.00018307711582024773
88,SUSD1,-0.0003166349630126953,0.0007847218952209672,-0.0012969599439453493,-0.0008952698473693194,
89,TSPAN5,0.0001500541230029656,-0.0013657884072832988,-0.0007337159578653923,-0.0007867184029182522,-0.002661890778515111
90,FOXRED1,-0.002075440151502862,0.0001503057540432175,-0.0011161940819036141,-0.00014331005600949458,-0.0008303402282704535
91,PTCD2,-0.0005880870211188646,0.0006372240717638367,-0.0010016161540183175,-0.000577466109692509,
92,NCOA7,-0.0016282294644301247,-0.0008790468722553145,-0.0037170475506539853,-0.0006021982671812875,
93,TNFSF13B,,,,-0.0004710584021103033,-0.005526066194919965
94,CDKL5,2.549012583663579e-05,-0.0014533228339359758,-0.00048121552355170384,0.000487545216962924,
95,DISP1,,0.00233891654478441,-0.005421499982458319,,
96,THAP6,4.397170040429561e-05,-0.0010944111205530467,-0.0009011047375234241,-0.00038993339980763174,-0.0007249762060911012
97,NIPAL3,-0.00030659327416483056,-0.0009929527789335696,-0.0011329489952060633,-0.0010585627601876445,-0.0015750676967007209
98,ARHGAP21,-0.0006881041569851178,-0.001513382249706925,-0.0009998835090555963,-0.0008343604599635275,-0.00219527971347098
99,PRKAB1,,0.0007718083561260042,,-3.3416869300702257e-05,-0.003530834621747414
100,PGM2,,-0.001029928518266835,-0.003047285944978856,-0.0009108650907780451,-0.0016321198319331365
101,SPATA5,-0.0010929722627368438,-0.00039955311712353177,0.0010555161806539964,-0.0004159906956690985,-0.0014938003218313324
102,ITPKB,-0.0009037505762720622,-0.000725459678832422,-0.0011108742059596603,-0.00047577788479711506,-0.0009143662614847833
103,RAB3IP,-0.0012035524301450586,,-0.0010366282721585903,-0.0007020001014420574,
104,ALG14,,-8.281532586779973e-05,-4.613119628056432e-05,-0.0011245142389612545,-0.0014361255618288576
105,TGFBR3,-0.0007491814782248536,-0.0008788897158318477,-0.0011228856144680091,-0.00046244255861182734,0.00032113577569440645
106,EEPD1,-0.0009032531630996411,-0.00043843543145568806,-0.0002692436964377119,-0.00038174203749217345,-0.002140809728939933
107,CDAN1,-0.000743847253926436,-0.0009429017070374558,,-1.935282174372714e-05,-0.0012282290797940038
108,DBNDD2,,,,,
109,OSTM1,0.0001479766920566561,-0.001373558446170639,,-0.0007670075461219585,
