,gene,decouple_UL,couple_UL,decouple_RAO,couple_RAO,decouple_DL,couple_DL,decouple_Subplate,couple_Subplate,decouple_VSVZ,couple_VSVZ,decouple_IPC,couple_IPC,decouple_DC,couple_DC
599,4932441J04RIK,-0.01031538229361869,0.01031538229361869,0.007539362526063048,-0.007539362526063048,-0.003070360571030717,0.003070360571030717,0.006547184648426407,-0.006547184648426407,,,,,0.021134893483376063,-0.021134893483376063
600,PCDH7,-0.002463630056524467,0.002463630056524467,0.0019157425937112033,-0.0019157425937112033,0.0019742080530537887,-0.0019742080530537887,0.000904183308635717,-0.000904183308635717,,,,,0.0014539438342740102,-0.0014539438342740102
601,ARAP2,-0.004438245083965481,0.004438245083965481,0.004386367566156318,-0.004386367566156318,-0.003978960470797627,0.003978960470797627,0.00400774018838624,-0.00400774018838624,,,,,-0.0015450185156093699,0.0015450185156093699
602,NWD2,-0.00015530525418849805,0.00015530525418849805,-0.00034407720964901856,0.00034407720964901856,-0.0037897500316592184,0.0037897500316592184,0.004395380025165062,-0.004395380025165062,,,,,0.002556037002219475,-0.002556037002219475
603,0610040J01RIK,0.02257228753512168,-0.02257228753512168,-0.011287719865274895,0.011287719865274895,-0.00626498101852245,0.00626498101852245,,,,,,,,
604,C030018K13RIK,,,-0.0022502500034082204,0.0022502500034082204,,,,,,,,,,
605,GM20033,0.002775215814711164,-0.002775215814711164,0.0002818657225614196,-0.0002818657225614196,0.004332941466095204,-0.004332941466095204,0.007035700974982802,-0.007035700974982802,,,,,0.016512404699996576,-0.016512404699996576
606,KLF3,-1.683550428400321e-05,1.683550428400321e-05,-0.0011150364354834824,0.0011150364354834824,-0.006221516329442692,0.006221516329442692,0.005087223594875442,-0.005087223594875442,,,,,0.0038062788900462136,-0.0038062788900462136
607,BEND4,-0.007062417362698144,0.007062417362698144,-0.008664185879833655,0.008664185879833655,-0.0047325671872688185,0.0047325671872688185,0.000807609674042857,-0.000807609674042857,,,,,0.0024243891078635713,-0.0024243891078635713
608,KCTD8,0.003603964258592711,-0.003603964258592711,-0.0038629828038453315,0.0038629828038453315,0.00400111818206101,-0.00400111818206101,0.019229943546133638,-0.019229943546133638,,,,,0.009808513274270417,-0.009808513274270417
609,GABRG1,0.01709122739382484,-0.01709122739382484,-0.007216139285826796,0.007216139285826796,-0.008539872214246694,0.008539872214246694,0.004603608884471665,-0.004603608884471665,,,,,,
610,GABRA2,-0.0031481793739215266,0.0031481793739215266,0.018292384451056035,-0.018292384451056035,0.0020893839991102253,-0.0020893839991102253,-0.0021665824784073764,0.0021665824784073764,,,,,0.0009028700341750795,-0.0009028700341750795
611,GABRA4,-0.0012524928134983945,0.0012524928134983945,-0.007355282674479213,0.007355282674479213,-0.005666057933283279,0.005666057933283279,0.016878451473562726,-0.016878451473562726,,,,,0.0025411624362632924,-0.0025411624362632924
612,GABRB1,0.011675175319828077,-0.011675175319828077,0.0004904231357885855,-0.0004904231357885855,-0.0015953550635134858,0.0015953550635134858,-0.0017662510390468594,0.0017662510390468594,,,,,,
613,LNX1,-0.0011401973609403426,0.0011401973609403426,0.013832540297121353,-0.013832540297121353,,,-0.0024073979361421832,0.0024073979361421832,,,,,,
614,PDGFRA,-0.008760531491750191,0.008760531491750191,-0.00525402673902569,0.00525402673902569,-0.00948386631146591,0.00948386631146591,,,,,,,,
615,KIT,0.014517638373648264,-0.014517638373648264,-0.007997765024884633,0.007997765024884633,-0.0033051280236013336,0.0033051280236013336,-0.0006558577403375648,0.0006558577403375648,,,,,0.009558495675222926,-0.009558495675222926
616,HOPX,-0.0038700538323502773,0.0038700538323502773,-0.000210764661076418,0.000210764661076418,-0.007116387302052579,0.007116387302052579,,,,,,,-0.0004473071660743566,0.0004473071660743566
617,IGFBP7,0.016827046390982835,-0.016827046390982835,0.013211969880716205,-0.013211969880716205,,,,,,,,,,
618,ADGRL3,-0.002544207087730635,0.002544207087730635,0.0022915726779477244,-0.0022915726779477244,-0.003362182761582476,0.003362182761582476,5.2129360902153365e-05,-5.2129360902153365e-05,,,,,0.029937720864379777,-0.029937720864379777
619,SLC4A4,-0.012999771215156539,0.012999771215156539,0.0014147029956628338,-0.0014147029956628338,-0.002606398671672394,0.002606398671672394,0.0007370282295194736,-0.0007370282295194736,,,,,-0.003151862849790542,0.003151862849790542
620,ADAMTS3,-0.004550909805303538,0.004550909805303538,-0.002429669025777084,0.002429669025777084,0.00012949241647319115,-0.00012949241647319115,-0.00475417794168527,0.00475417794168527,,,,,-0.0034638207734938517,0.0034638207734938517
621,PARM1,0.009545826746929158,-0.009545826746929158,-0.011911377819170219,0.011911377819170219,-0.008274022489725648,0.008274022489725648,0.00034079800502020974,-0.00034079800502020974,,,,,0.001157672714205582,-0.001157672714205582
622,NAAA,-0.009253955698581555,0.009253955698581555,0.002792907267564461,-0.002792907267564461,-0.0044014627219143496,0.0044014627219143496,,,,,,,,
623,ART3,,,-0.0066367834335602505,0.0066367834335602505,0.003144967972591242,-0.003144967972591242,,,,,,,,
