,Unnamed: 0,decouple_UL,couple_UL,decouple_RAO,couple_RAO,decouple_DL,couple_DL,decouple_Subplate,couple_Subplate,decouple_VSVZ,couple_VSVZ,decouple_IPC,couple_IPC,decouple_DC,couple_DC,gene
NYAP2,68.0,0.005437085474283843,-0.005447085474283842,0.010466482414112924,-0.010476482414112923,0.004485037815812623,-0.004495037815812623,0.007707806807199541,-0.007717806807199539,0.006771795344997028,-0.0067817953449970285,0.011678292042832814,-0.011688292042832813,0.006962870027038215,-0.0069728700270382145,
IRS1,69.0,0.006141244150611555,-0.006151244150611555,0.0048015601282845885,-0.004811560128284586,0.011271517857668679,-0.01128151785766868,0.010229407806402552,-0.010239407806402551,0.009124497130677615,-0.009134497130677616,0.011958195076709907,-0.011968195076709908,0.005833511717011256,-0.005843511717011255,
RHBDD1,70.0,0.003190610398893845,-0.003200610398893845,0.008186410074992378,-0.008196410074992378,0.0006048085586005808,-0.0006148085586005807,0.00908839487330798,-0.009098394873307979,0.009833717525122965,-0.009843717525122964,0.01198920832707677,-0.011999208327076771,0.005846238516680521,-0.005856238516680521,
COL4A4,71.0,-0.011700418880903424,0.011690418880903424,0.007214168886212929,-0.00722416888621293,-0.030058984286675007,0.030048984286675007,,,0.010252126150243806,-0.010262126150243805,-0.032373506864818165,0.03236350686481816,0.003651845423191149,-0.003661845423191149,
SPHKAP,72.0,0.010816553964174537,-0.010826553964174538,0.002065745886642059,-0.002075745886642059,0.009246280705285922,-0.009256280705285922,0.010895198810539394,-0.010905198810539394,0.01063785000576277,-0.010647850005762769,0.008952407592828645,-0.008962407592828642,0.003908301295425048,-0.003918301295425048,
PID1,73.0,0.010807313256513644,-0.010817313256513642,0.003558144784475803,-0.003568144784475803,0.009560020010584286,-0.009570020010584284,0.005301258071227485,-0.005311258071227485,0.008592231154626803,-0.008602231154626803,0.011524434559059077,-0.011534434559059076,0.006395481977848574,-0.006405481977848574,
DNER,74.0,0.0065990301254537365,-0.006609030125453736,0.007140055059807984,-0.007150055059807985,0.007751212184396561,-0.00776121218439656,0.008671667619076673,-0.008681667619076672,0.007950703158662184,-0.007960703158662184,0.013018384640470336,-0.013028384640470335,0.006833541599881018,-0.006843541599881018,
HJURP,75.0,0.0039907907194384066,-0.004000790719438404,0.003925382772557176,-0.003935382772557176,0.004421047661085448,-0.004431047661085447,0.009509545306201449,-0.009519545306201449,0.00602782386345832,-0.00603782386345832,0.012074980388669427,-0.012084980388669429,0.004681155205126644,-0.004691155205126644,
ASB18,76.0,-0.00422042652701049,0.0042104265270104906,-0.0196951427896576,0.0196851427896576,,,,,,,-0.02974547372543987,0.02973547372543987,,,
ACKR3,77.0,-0.0058979628545217785,0.00588796285452178,0.006098717012512979,-0.00610871701251298,0.005340073513432146,-0.0053500735134321435,0.010762388639719234,-0.010772388639719232,0.011303512169393952,-0.011313512169393952,,,0.003575208790564305,-0.003585208790564305,
SNED1,78.0,-0.008592741690133882,0.008582741690133882,0.007201908919484677,-0.007211908919484675,0.005002554772417067,-0.005012554772417068,,,,,0.007076360019491205,-0.0070863600194912045,-0.013844556570064335,0.013834556570064336,
ST8SIA4,79.0,0.006674885299866207,-0.006684885299866206,0.00705969481415393,-0.00706969481415393,0.007339508997610181,-0.007349508997610183,0.010304637957242374,-0.010314637957242374,0.005686870560811436,-0.005696870560811435,0.007822372269165323,-0.007832372269165323,0.0038700930515036813,-0.0038800930515036814,
PAM,80.0,0.005546829928761432,-0.0055568299287614325,0.004586085436523349,-0.004596085436523349,0.009755351287045648,-0.009765351287045646,0.009812769982172969,-0.009822769982172968,0.0034190523221952485,-0.0034290523221952485,0.005784855860459168,-0.005794855860459167,0.008374615098754257,-0.008384615098754256,
CNTNAP5B,81.0,0.0065476125658427845,-0.006557612565842783,-0.01335798600664885,0.01334798600664885,0.011685545983181623,-0.011695545983181623,0.006628070760225244,-0.006638070760225243,0.008001659849094338,-0.008011659849094337,0.003209285310186466,-0.003219285310186466,-0.0011892183646516202,0.0011792183646516204,
CDH20,82.0,0.0006050294951261552,-0.0006150294951261554,0.007605730726010702,-0.0076157307260107015,0.0033187915843983927,-0.0033287915843983927,0.009678579211728931,-0.00968857921172893,0.004846738978718318,-0.004856738978718318,0.00790074938482288,-0.00791074938482288,,,
BCL2,83.0,0.006217151612733189,-0.0062271516127331865,0.006363536218605692,-0.0063735362186056925,0.005716854301022825,-0.005726854301022825,0.010953133823954936,-0.010963133823954935,0.012657854703196358,-0.012667854703196358,0.010382497917848538,-0.010392497917848536,0.00573513537363822,-0.00574513537363822,
CDH7,84.0,0.006991276148418241,-0.00700127614841824,0.004047386537651687,-0.004057386537651687,0.00840657963520669,-0.008416579635206691,0.001345660272929983,-0.0013556602729299827,0.010890157780220094,-0.010900157780220094,0.008064610370028522,-0.008074610370028521,0.0024828267666749467,-0.0024928267666749467,
CNTNAP5A,85.0,0.011344942022399704,-0.011354942022399705,-0.0107140253186518,0.010704025318651802,0.011384216256209514,-0.011394216256209514,0.00037697277219833625,-0.00038697277219833633,0.009025036264076705,-0.009035036264076705,-0.02030373615873036,0.020293736158730362,0.0052786667440696535,-0.005288666744069654,
GLI2,86.0,-0.009666618267135642,0.009656618267135642,0.004089598572271869,-0.004099598572271868,0.002009841761183767,-0.002019841761183767,0.01005618095197358,-0.010066180951973579,0.011811099439141631,-0.011821099439141631,0.009501367721003004,-0.009511367721003005,0.006776885662996182,-0.006786885662996182,
EPB41L5,87.0,0.009926505708145794,-0.009936505708145794,0.007798562388545398,-0.007808562388545399,0.013357461715610586,-0.013367461715610584,0.006353744863415181,-0.0063637448634151815,0.008655396392433026,-0.008665396392433026,0.010531049379738323,-0.010541049379738323,0.008641355141102938,-0.008651355141102938,
SCTR,88.0,,,0.0024521271730336136,-0.0024621271730336136,,,-0.027209538415445145,0.027199538415445142,0.005879491120293304,-0.005889491120293303,-0.005179649792483823,0.005169649792483824,,,
DBI,89.0,0.0045474496061278106,-0.004557449606127809,0.0035464626072351365,-0.0035564626072351366,0.007626297289194743,-0.00763629728919474,0.009029145323740814,-0.009039145323740814,0.005585029634487732,-0.005595029634487731,0.00887259335128815,-0.008882593351288149,0.005077636276702421,-0.005087636276702421,
CELRR,90.0,-0.034285822104433636,0.03427582210443364,0.0032046178737752122,-0.0032146178737752122,,,,,,,,,,,
DPP10,91.0,0.008630435028142092,-0.008640435028142091,0.00272944926423746,-0.00273944926423746,0.007943978137466598,-0.0079539781374666,0.013192181163152432,-0.013202181163152431,0.010258586361407154,-0.010268586361407154,0.005818218275822572,-0.005828218275822573,0.006904630514072599,-0.006914630514072599,
TMEM163,92.0,0.0007659740087911093,-0.0007759740087911094,0.008801059289512497,-0.008811059289512497,0.009302388044617528,-0.009312388044617526,0.009374677723373151,-0.00938467772337315,0.009020604611137142,-0.009030604611137142,0.011599201805940693,-0.011609201805940692,-0.0026873562777260177,0.0026773562777260176,
ZRANB3,93.0,0.00979994336222727,-0.009809943362227269,0.007261296753499458,-0.007271296753499456,0.012259594081515113,-0.012269594081515112,0.008153944705847654,-0.008163944705847654,0.011649620173639257,-0.011659620173639256,0.012457887474977973,-0.012467887474977974,0.00517747783047802,-0.005187477830478019,
MCM6,94.0,0.009031806837595052,-0.009041806837595052,0.006676979088228535,-0.006686979088228535,0.009363872766754476,-0.009373872766754474,0.009495097395676944,-0.009505097395676943,0.008952979927160891,-0.008962979927160889,0.009369129063606318,-0.009379129063606318,0.005811466210661163,-0.005821466210661163,
THSD7B,95.0,0.01125589552472843,-0.011265895524728429,0.00726549658170865,-0.0072754965817086485,0.013976913997334348,-0.013986913997334349,,,0.012754745518070112,-0.012764745518070112,0.009573090184385805,-0.009583090184385804,0.00464183648609498,-0.00465183648609498,
GM16083,96.0,0.010921419611744629,-0.010931419611744628,0.0033092817349179853,-0.0033192817349179853,0.013741765801355124,-0.013751765801355124,0.006169163125330182,-0.006179163125330182,0.010620521165776569,-0.010630521165776568,,,0.003071390875075984,-0.003081390875075984,
SOX13,97.0,-0.02351747233379866,0.02350747233379866,0.006980598098884711,-0.00699059809888471,-0.013294521120937557,0.013284521120937556,,,,,-0.04512432709496543,0.045114327094965434,-0.020704351862229502,0.020694351862229503,
BTG2,98.0,0.005283486643594695,-0.005293486643594695,0.0055712248117113505,-0.00558122481171135,0.010057101717129452,-0.010067101717129451,0.012466199844433923,-0.012476199844433922,0.00970283968670034,-0.00971283968670034,0.006934350965219521,-0.006944350965219521,0.008494468583673885,-0.008504468583673885,
KIF14,99.0,-0.022608248503837008,0.022598248503837008,0.006647898897465532,-0.006657898897465531,-0.003901920084228905,0.0038919200842289048,0.00790515638092973,-0.007915156380929728,0.007900093197017663,-0.007910093197017663,,,,,
NEK7,100.0,-0.01413891109327306,0.014128911093273059,0.006811677674475561,-0.00682167767447556,0.0026231631672168076,-0.0026331631672168077,-0.016543453488688034,0.016533453488688038,0.0069681458118586856,-0.006978145811858686,0.012476774711058151,-0.012486774711058152,0.007635434815962239,-0.0076454348159622374,
LHX9,101.0,-0.0055179045604013535,0.005507904560401355,0.003952962415668476,-0.003962962415668476,-0.009637988991137186,0.009627988991137187,0.005945846176397818,-0.005955846176397817,0.013473904249361422,-0.013483904249361422,0.010958865986942665,-0.010968865986942664,0.006460913605761272,-0.006470913605761273,
CRB1,102.0,0.00764245455913172,-0.0076524545591317205,0.015751796027442727,-0.015761796027442727,,,,,0.007537594247029239,-0.007547594247029238,0.00476527255619119,-0.004775272556191191,-0.011282944640591382,0.011272944640591382,
