,gene,decouple_UL,couple_UL,decouple_RAO,couple_RAO,decouple_DL,couple_DL,decouple_Subplate,couple_Subplate,decouple_VSVZ,couple_VSVZ,decouple_IPC,couple_IPC,decouple_DC,couple_DC
51,ADAM23,0.007601695557838448,-0.007611695557838447,0.00726059735495882,-0.0072705973549588195,0.007922827032678825,-0.007932827032678825,0.010049261671209606,-0.010059261671209605,0.007887453118808424,-0.007897453118808424,0.010992083812642106,-0.011002083812642106,0.004012859074865746,-0.004022859074865746
52,UNC80,0.008284612798695343,-0.008294612798695342,0.00764356168192535,-0.007653561681925349,0.01129220178428024,-0.01130220178428024,0.009421278048514906,-0.009431278048514905,0.006502429161258663,-0.006512429161258663,-0.01643402324165477,0.016424023241654772,0.005222186220903577,-0.0052321862209035765
53,ACADL,0.004754506161984862,-0.004764506161984861,0.0058708830325575195,-0.005880883032557519,0.011967536892232664,-0.011977536892232663,,,,,-0.005869274378044229,0.005859274378044229,-0.0036723525707971355,0.0036623525707971355
54,ERBB4,0.011155229157204238,-0.011165229157204238,0.008413798125406408,-0.008423798125406407,0.009573754150983188,-0.009583754150983188,0.005601402522945623,-0.005611402522945622,0.010139551994266402,-0.010149551994266402,0.007508310208202751,-0.0075183102082027504,0.006295375119044294,-0.006305375119044294
55,IKZF2,0.006730088511238713,-0.006740088511238713,0.007053444494905428,-0.007063444494905428,0.010252342984206658,-0.010262342984206658,0.01150135194321647,-0.01151135194321647,0.008687486885258194,-0.008697486885258194,0.013629652763452238,-0.013639652763452238,0.006986468924917583,-0.006996468924917582
56,SPAG16,-0.0029124547727424066,0.0029024547727424066,0.0053503817293493044,-0.005360381729349304,-0.001430794665229107,0.001420794665229107,,,,,,,,
57,VWC2L,-0.0007470908019948652,0.0007370908019948652,-0.0016057129206103332,0.0015957129206103332,0.012612314881394776,-0.012622314881394776,0.004774120387783742,-0.004784120387783742,,,,,-0.007055810761155273,0.007045810761155274
58,BARD1,0.005680575457236034,-0.0056905754572360336,0.006417699744962729,-0.006427699744962729,0.005548898425376633,-0.005558898425376633,0.008852006630820877,-0.008862006630820877,-0.010456201997241912,0.010446201997241913,0.01049095808030183,-0.010500958080301829,-0.0026274472691703993,0.0026174472691703993
59,FN1,0.01200779243672459,-0.01201779243672459,0.0055968632104570065,-0.005606863210457006,0.003942749834444953,-0.0039527498344449526,0.012225008203222948,-0.012235008203222947,0.010812324303808518,-0.010822324303808518,0.011376828678049733,-0.011386828678049733,0.0036156252234494923,-0.0036256252234494924
60,MARCH4,0.007126118409841856,-0.007136118409841855,-0.019470132738701927,0.019460132738701928,0.004805654337752235,-0.004815654337752235,0.012249996502624913,-0.012259996502624913,0.011402703965501679,-0.011412703965501678,0.004342064228314749,-0.004352064228314748,0.005962437252263489,-0.0059724372522634885
61,IGFBP2,0.006864330757128959,-0.006874330757128958,0.004945994331786843,-0.004955994331786843,0.005889046607773882,-0.005899046607773881,0.011084320759030875,-0.011094320759030874,0.006094720115990479,-0.006104720115990479,0.008087288972340859,-0.008097288972340858,0.00516325122878214,-0.005173251228782139
62,IGFBP5,0.008607198752082296,-0.008617198752082295,0.007550987840059101,-0.0075609878400591,0.010014677939304814,-0.010024677939304814,0.013224147318211019,-0.013234147318211018,0.01390493958843908,-0.01391493958843908,0.008711073327796248,-0.008721073327796248,0.006945960507460887,-0.006955960507460886
63,TNS1,0.0020919902853380606,-0.0021019902853380607,0.007527053480343757,-0.007537053480343756,0.010597162894653234,-0.010607162894653233,-0.024609911308630522,0.024599911308630523,0.009065804320884788,-0.009075804320884787,0.014025299859381973,-0.014035299859381973,0.010077921038557258,-0.010087921038557258
64,PLCD4,-0.005308493620259286,0.005298493620259286,0.005217615047076088,-0.0052276150470760875,0.010518288252003002,-0.010528288252003002,-0.031450906786693475,0.03144090678669347,0.01098607508417209,-0.01099607508417209,0.012151005077575217,-0.012161005077575216,0.0009915935533923656,-0.0010015935533923656
65,SCG2,0.005861623442688674,-0.005871623442688673,0.0019396546401357004,-0.0019496546401357004,0.0005314006339560834,-0.0005414006339560834,,,0.005723061331011442,-0.005733061331011442,,,-0.0030309800599847003,0.0030209800599847003
66,SERPINE2,0.003366808924575193,-0.003376808924575193,0.007463131309851781,-0.0074731313098517806,0.008087358379277362,-0.008097358379277362,0.0030028658192543384,-0.0030128658192543384,-0.004853859928620113,0.004843859928620114,-0.006280073395621005,0.006270073395621006,-0.0006561176963818666,0.0006461176963818665
67,DOCK10,-0.025793747066619875,0.025783747066619876,0.007395356242015455,-0.007405356242015455,-0.029781302373596927,0.029771302373596927,0.007244542527227907,-0.007254542527227906,0.004939494173265113,-0.004949494173265113,0.005609862487850004,-0.005619862487850003,0.00761492075319882,-0.00762492075319882
68,NYAP2,0.005437085474283843,-0.005447085474283842,0.010466482414112924,-0.010476482414112923,0.004485037815812623,-0.004495037815812623,0.007707806807199541,-0.0077178068071995405,0.006771795344997028,-0.006781795344997028,0.011678292042832814,-0.011688292042832813,0.006962870027038215,-0.0069728700270382145
69,IRS1,0.006141244150611555,-0.006151244150611555,0.004801560128284588,-0.004811560128284587,0.01127151785766868,-0.01128151785766868,0.010229407806402552,-0.010239407806402551,0.009124497130677617,-0.009134497130677616,0.011958195076709907,-0.011968195076709907,0.0058335117170112555,-0.005843511717011255
70,RHBDD1,0.003190610398893845,-0.003200610398893845,0.008186410074992378,-0.008196410074992378,0.0006048085586005808,-0.0006148085586005808,0.009088394873307981,-0.00909839487330798,0.009833717525122965,-0.009843717525122964,0.01198920832707677,-0.01199920832707677,0.005846238516680521,-0.005856238516680521
71,COL4A4,-0.011700418880903424,0.011690418880903424,0.007214168886212929,-0.007224168886212929,-0.030058984286675007,0.030048984286675007,,,0.010252126150243804,-0.010262126150243803,-0.032373506864818165,0.03236350686481816,0.0036518454231911496,-0.0036618454231911496
72,SPHKAP,0.010816553964174538,-0.010826553964174538,0.002065745886642059,-0.002075745886642059,0.009246280705285922,-0.009256280705285922,0.010895198810539394,-0.010905198810539394,0.01063785000576277,-0.010647850005762769,0.008952407592828643,-0.008962407592828642,0.0039083012954250484,-0.003918301295425048
73,PID1,0.010807313256513643,-0.010817313256513642,0.003558144784475803,-0.003568144784475803,0.009560020010584286,-0.009570020010584285,0.005301258071227485,-0.005311258071227485,0.008592231154626803,-0.008602231154626803,0.011524434559059077,-0.011534434559059076,0.006395481977848574,-0.006405481977848574
74,DNER,0.0065990301254537365,-0.006609030125453736,0.007140055059807984,-0.007150055059807984,0.007751212184396561,-0.0077612121843965605,0.008671667619076673,-0.008681667619076672,0.007950703158662184,-0.007960703158662184,0.013018384640470337,-0.013028384640470337,0.006833541599881018,-0.006843541599881018
75,HJURP,0.003990790719438406,-0.004000790719438405,0.003925382772557176,-0.003935382772557176,0.004421047661085448,-0.004431047661085447,0.009509545306201447,-0.009519545306201447,0.00602782386345832,-0.00603782386345832,0.012074980388669429,-0.012084980388669429,0.004681155205126644,-0.004691155205126644
76,ASB18,-0.00422042652701049,0.0042104265270104906,-0.019695142789657602,0.019685142789657602,,,,,,,-0.02974547372543987,0.02973547372543987,,
77,ACKR3,-0.005897962854521779,0.00588796285452178,0.00609871701251298,-0.00610871701251298,0.005340073513432145,-0.005350073513432144,0.010762388639719234,-0.010772388639719233,0.011303512169393952,-0.011313512169393952,,,0.003575208790564305,-0.003585208790564305
78,SNED1,-0.008592741690133882,0.008582741690133882,0.007201908919484676,-0.007211908919484675,0.005002554772417067,-0.005012554772417067,,,,,0.007076360019491204,-0.007086360019491204,-0.013844556570064337,0.013834556570064337
79,ST8SIA4,0.006674885299866207,-0.006684885299866206,0.00705969481415393,-0.00706969481415393,0.0073395089976101835,-0.007349508997610183,0.010304637957242374,-0.010314637957242374,0.005686870560811436,-0.005696870560811435,0.007822372269165323,-0.007832372269165323,0.0038700930515036813,-0.0038800930515036814
80,PAM,0.005546829928761432,-0.005556829928761432,0.004586085436523349,-0.0045960854365233485,0.009755351287045647,-0.009765351287045646,0.009812769982172967,-0.009822769982172967,0.0034190523221952485,-0.0034290523221952485,0.005784855860459168,-0.005794855860459167,0.008374615098754257,-0.008384615098754256
81,CNTNAP5B,0.006547612565842784,-0.006557612565842783,-0.01335798600664885,0.01334798600664885,0.011685545983181625,-0.011695545983181625,0.006628070760225244,-0.006638070760225243,0.008001659849094338,-0.008011659849094337,0.003209285310186466,-0.003219285310186466,-0.0011892183646516202,0.0011792183646516202
82,CDH20,0.0006050294951261553,-0.0006150294951261554,0.007605730726010701,-0.007615730726010701,0.0033187915843983923,-0.0033287915843983923,0.009678579211728933,-0.009688579211728932,0.004846738978718318,-0.0048567389787183175,0.00790074938482288,-0.00791074938482288,,
83,BCL2,0.006217151612733188,-0.006227151612733187,0.006363536218605692,-0.006373536218605692,0.005716854301022825,-0.005726854301022825,0.010953133823954936,-0.010963133823954935,0.012657854703196358,-0.012667854703196358,0.010382497917848538,-0.010392497917848537,0.00573513537363822,-0.0057451353736382195
84,CDH7,0.006991276148418241,-0.00700127614841824,0.004047386537651687,-0.004057386537651687,0.00840657963520669,-0.00841657963520669,0.0013456602729299827,-0.0013556602729299827,0.010890157780220094,-0.010900157780220094,0.008064610370028522,-0.008074610370028521,0.0024828267666749462,-0.0024928267666749463
85,CNTNAP5A,0.011344942022399704,-0.011354942022399703,-0.010714025318651801,0.010704025318651802,0.011384216256209514,-0.011394216256209514,0.00037697277219833625,-0.0003869727721983363,0.009025036264076705,-0.009035036264076705,-0.020303736158730365,0.020293736158730365,0.005278666744069654,-0.005288666744069654
86,GLI2,-0.009666618267135642,0.009656618267135642,0.004089598572271869,-0.004099598572271868,0.002009841761183767,-0.002019841761183767,0.010056180951973581,-0.01006618095197358,0.011811099439141631,-0.011821099439141631,0.009501367721003004,-0.009511367721003004,0.006776885662996182,-0.006786885662996182
87,EPB41L5,0.009926505708145794,-0.009936505708145794,0.007798562388545399,-0.007808562388545399,0.013357461715610586,-0.013367461715610585,0.006353744863415181,-0.006363744863415181,0.008655396392433026,-0.008665396392433026,0.010531049379738325,-0.010541049379738324,0.008641355141102938,-0.008651355141102938
88,SCTR,,,0.0024521271730336136,-0.0024621271730336136,,,-0.027209538415445142,0.027199538415445142,0.005879491120293304,-0.005889491120293303,-0.005179649792483823,0.0051696497924838235,,
89,DBI,0.00454744960612781,-0.004557449606127809,0.0035464626072351374,-0.0035564626072351374,0.007626297289194742,-0.007636297289194741,0.009029145323740814,-0.009039145323740814,0.0055850296344877315,-0.005595029634487731,0.00887259335128815,-0.008882593351288149,0.005077636276702421,-0.005087636276702421
90,CELRR,-0.03428582210443364,0.03427582210443364,0.003204617873775212,-0.003214617873775212,,,,,,,,,,
91,DPP10,0.008630435028142092,-0.008640435028142091,0.00272944926423746,-0.00273944926423746,0.007943978137466598,-0.007953978137466598,0.013192181163152433,-0.013202181163152433,0.010258586361407154,-0.010268586361407154,0.005818218275822573,-0.005828218275822573,0.006904630514072599,-0.0069146305140725985
